110671,zero,eorz,english-words.10
110672,fate,aeft,english-words.10
110673,fatal,aaflt,english-words.10
110674,fastest,aefsstt,english-words.10
110675,faster,aefrst,english-words.10
110676,fast,afst,english-words.10
110677,fashion,afhinos,english-words.10
110678,farthest,aefhrstt,english-words.10
110679,farther,aefhrrt,english-words.10
110680,farm,afmr,english-words.10
110681,far,afr,english-words.10
110682,fancy,acfny,english-words.10
110683,fan,afn,english-words.10
110684,famous,afmosu,english-words.10
110685,family,afilmy,english-words.10
110686,father,aefhrt,english-words.10
110687,familiar,aafiilmr,english-words.10
110688,falls,aflls,english-words.10
110689,falling,afgilln,english-words.10
110690,fallen,aeflln,english-words.10
110691,fall's,'aflls,english-words.10
110692,fall,afll,english-words.10
110693,faith,afhit,english-words.10
110694,fairly,afilry,english-words.10
110695,fair,afir,english-words.10
110696,failure,aefilru,english-words.10
110697,fails,afils,english-words.10
110698,failing,afgiiln,english-words.10
110699,failed,adefil,english-words.10
110700,fail,afil,english-words.10
110701,facts,acfst,english-words.10
110702,false,aefls,english-words.10
110703,factors,acforst,english-words.10
110704,fault,afltu,english-words.10
110705,faults,aflstu,english-words.10
110706,file's,'efils,english-words.10
110707,file,efil,english-words.10
110708,figures,efgirsu,english-words.10
110709,figure's,'efgirsu,english-words.10
110710,figure,efgiru,english-words.10
110711,fight,fghit,english-words.10
110712,fields,defils,english-words.10
110713,field's,'defils,english-words.10
110714,field,defil,english-words.10
110715,fewest,eefstw,english-words.10
110716,fewer,eefrw,english-words.10
110717,few,efw,english-words.10
110718,felt,eflt,english-words.10
110719,fell,efll,english-words.10
110720,fault's,'aflstu,english-words.10
110721,feet,eeft,english-words.10
110722,feeling,eefgiln,english-words.10
110723,feel's,'eefls,english-words.10
110724,feel,eefl,english-words.10
110725,feeds,deefs,english-words.10
110726,feeding,deefgin,english-words.10
110727,feedback,abcdeefk,english-words.10
110728,feed,deef,english-words.10
110729,federal,adeeflr,english-words.10
110730,fed,def,english-words.10
110731,features,aeefrstu,english-words.10
110732,feature's,'aeefrstu,english-words.10
110733,feature,aeefrtu,english-words.10
110734,feasible,abeefils,english-words.10
110735,fear,aefr,english-words.10
110736,feels,eefls,english-words.10
110737,filed,defil,english-words.10
110738,factor's,'acforst,english-words.10
110739,fact's,'acfst,english-words.10
110740,experiments,eeeimnprstx,english-words.10
110741,experimental,aeeeilmnprtx,english-words.10
110742,experiment's,'eeeimnprstx,english-words.10
110743,experiment,eeeimnprtx,english-words.10
110744,experiencing,ceeegiinnprx,english-words.10
110745,experiences,ceeeeinprsx,english-words.10
110746,experienced,cdeeeeinprx,english-words.10
110747,experience's,'ceeeeinprsx,english-words.10
110748,experience,ceeeeinprx,english-words.10
110749,expensive,eeeinpsvx,english-words.10
110750,expense,eeenpsx,english-words.10
110751,expects,ceepstx,english-words.10
110752,expecting,ceeginptx,english-words.10
110753,expected,cdeeeptx,english-words.10
110754,expert,eeprtx,english-words.10
110755,expect,ceeptx,english-words.10
110756,expands,adenpsx,english-words.10
110757,expanding,adeginnpx,english-words.10
110758,expanded,addeenpx,english-words.10
110759,expand,adenpx,english-words.10
110760,exists,eisstx,english-words.10
110761,existing,egiinstx,english-words.10
110762,existence,ceeeinstx,english-words.10
110763,existed,deeistx,english-words.10
110764,exist,eistx,english-words.10
110765,exercise,ceeeirsx,english-words.10
110766,executing,ceegintux,english-words.10
110767,executes,ceeestux,english-words.10
110768,executed,cdeeetux,english-words.10
110769,execute,ceeetux,english-words.10
110770,expansion,aeinnopsx,english-words.10
110771,factor,acfort,english-words.10
110772,expert's,'eeprstx,english-words.10
110773,explain,aeilnpx,english-words.10
110774,fact,acft,english-words.10
110775,facility's,'acfiilsty,english-words.10
110776,facility,acfiilty,english-words.10
110777,facilities,acefiiilst,english-words.10
110778,face,acef,english-words.10
110779,eyes,eesy,english-words.10
110780,eye's,'eesy,english-words.10
110781,eye,eey,english-words.10
110782,extremely,eeelmrtxy,english-words.10
110783,extreme,eeemrtx,english-words.10
110784,extract,acerttx,english-words.10
110785,extra,aertx,english-words.10
110786,external,aeelnrtx,english-words.10
110787,extent,eenttx,english-words.10
110788,experts,eeprstx,english-words.10
110789,extensive,eeeinstvx,english-words.10
110790,extends,deenstx,english-words.10
